Dataset,Rows,Columns,Mean,StdDev,Min,Max
learning_curve,30,2,8.4237,9.4349,1.0,30.0
actions_trace,20,2,6.1,6.084,1.0,20.0
rewards_trace,4,2,2.5289,0.9872,1.0,4.0
planning_rewards,10,2,7.75,3.1098,1.0,10.0
beliefs_trace,20,2,5.5058,6.5304,0.191,20.0
beliefs_over_time,20,2,5.5058,6.5304,0.191,20.0
learning_comparison,30,3,6.0626,8.3838,1.0,30.0
planning_actions,10,2,5.25,2.0995,1.0,10.0
actions_per_trial_trace,4,2,1.875,1.126,1.0,4.0
basic_simulation_trace,20,4,3.4904,5.0292,0.191,20.0
learning_comparison_trace,4,3,1.1264,1.2232,0.3081,4.0
actions_over_time,20,2,6.1,6.084,1.0,20.0
observations_over_time,20,2,5.875,6.2519,1.0,20.0
learning_trace,30,3,6.0626,8.3838,1.0,30.0
observations_trace,20,2,5.875,6.2519,1.0,20.0
planning_trace,10,3,6.8333,2.8416,1.0,10.0
