2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Memory usage at step 0: 156.78 MB
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: setup_matrices, matrix: all_matrices, input: (3, 4), output: (3,), time: 0.000025s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Memory usage at step 0: 156.78 MB
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: initialize_state, matrix: state_arrays, input: (3, 100), output: (3, 100), time: 0.000029s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Memory usage at step 0: 156.80 MB
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_0, input: (3,), output: (3,), time: 0.000069s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Memory usage at step 0: 156.80 MB
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_0, input: (1,), output: (1,), time: 0.000023s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Memory usage at step 0: 156.80 MB
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_0, input: (3,), output: (3,), time: 0.000019s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Step 0: {"step_duration": 0.00020194053649902344}
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_1, input: (3,), output: (3,), time: 0.000065s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: policy_selection, matrix: policy_step_1, input: (1,), output: (1,), time: 0.000022s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: generative_update, matrix: generative_step_1, input: (3,), output: (3,), time: 0.000017s
2025-06-23 15:36:32 | meta_aware.perf.meta_aware_sim_20250623_153632 | DEBUG | Matrix operation: belief_update, matrix: beliefs_step_2, input: (3,), output: (3,), time: 0.000061s
