# ActiveInference.jl Simulation Results
# Generated: 2026-05-12T07:31:43.078
# Model: Deep Planning Horizon POMDP
# Steps: 30
# Columns: step, observation, action, belief_state_1
1,3,2,0.17734594095428316
2,3,4,0.11041671699118075
3,3,4,0.09693185713192613
4,3,4,0.08987154280626637
5,3,4,0.08630480330500202
6,3,4,0.08453515050997415
7,3,4,0.08366481265865874
8,1,4,0.29524271947623326
9,1,4,0.47244736519308805
10,4,1,0.2947361580433291
11,1,4,0.47789429846125614
12,1,4,0.5942409109175308
13,4,1,0.3492957661547508
14,4,1,0.21215713899559904
15,4,1,0.11136439158314852
16,3,2,0.07627506540575793
17,3,2,0.08220370174748338
18,3,4,0.0686196156894638
19,3,4,0.08163804152623962
20,3,4,0.0846241729591109
21,2,4,0.14434455296821294
22,2,4,0.15485524113185503
23,2,4,0.1443437360780487
24,1,4,0.3370529131221157
25,1,4,0.49286265257485806
26,1,4,0.5972661821724079
27,1,4,0.6585064576450173
28,1,4,0.6915938773332525
29,1,4,0.708657493590997
30,1,4,0.7172385157483964
