# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = Dynamic_Perception_Model_stan_model
# start_datetime = 2026-09-06 03:26:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = output/12_execute_output/dynamic_perception/stan/simulation_data/Dynamic_Perception_Model_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/hum/Documents/GitHub/HumOS/projects/outside_of_hum/GeneralizedNotationNotation/output/11_render_output/dynamic_perception/stan/output/12_execute_output/dynamic_perception/stan/simulation_data/cmdstan/Dynamic_Perception_Model_stan-20260905202639.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=Dynamic_Perception_Model_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,A_est.1.1,A_est.2.1,A_est.1.2,A_est.2.2,filtered_state.1.1,filtered_state.2.1,filtered_state.3.1,filtered_state.4.1,filtered_state.5.1,filtered_state.6.1,filtered_state.7.1,filtered_state.8.1,filtered_state.9.1,filtered_state.10.1,filtered_state.1.2,filtered_state.2.2,filtered_state.3.2,filtered_state.4.2,filtered_state.5.2,filtered_state.6.2,filtered_state.7.2,filtered_state.8.2,filtered_state.9.2,filtered_state.10.2,log_marginal
# Adaptation terminated
# Step size = 0.887452
# Diagonal elements of inverse mass matrix:
# 0.108906, 0.12301
-28.04536,0.88027849,0.88745175,2,5,0,33.876445,0.71137122,0.27528333,0.28862878,0.72471667,0.28482763,0.21953514,0.2014672,0.1965975,0.61160518,0.3226556,0.23035326,0.62505805,0.75953978,0.37771717,0.71517237,0.78046486,0.7985328,0.8034025,0.38839482,0.6773444,0.76964674,0.37494195,0.24046022,0.62228283,-6.8614368
-27.941938,0.92465107,0.88745175,2,3,0,29.255537,0.87167528,0.074971626,0.12832472,0.92502837,0.12182498,0.069145703,0.063325012,0.062699874,0.84848711,0.19741622,0.078045941,0.85203194,0.95400783,0.22897437,0.87817502,0.9308543,0.93667499,0.93730013,0.15151289,0.80258378,0.92195406,0.14796806,0.045992166,0.77102563,-6.9200471
-27.905081,0.97815582,0.88745175,2,3,0,28.699458,0.88696493,0.098722697,0.11303507,0.9012773,0.1114401,0.061856696,0.056883979,0.056398527,0.81052975,0.17240888,0.068320398,0.81384589,0.93753302,0.20666161,0.8885599,0.9381433,0.94311602,0.94360147,0.18947025,0.82759112,0.9316796,0.18615411,0.062466982,0.79333839,-6.9952565
-27.561053,1,0.88745175,1,1,0,27.89881,0.87253527,0.10143184,0.12746473,0.89856816,0.12423065,0.070873054,0.064850387,0.064189823,0.80599726,0.1895065,0.078683835,0.81007353,0.93454535,0.2266267,0.87576935,0.92912695,0.93514961,0.93581018,0.19400274,0.8104935,0.92131617,0.18992647,0.065454647,0.7733733,-6.9541473
-27.212145,1,0.88745175,1,1,0,27.532926,0.85662298,0.11079124,0.14337702,0.88920876,0.13885241,0.081688372,0.074401537,0.073500431,0.79157592,0.20593836,0.090764775,0.79666024,0.92616585,0.24702186,0.86114759,0.91831163,0.92559846,0.92649957,0.20842408,0.79406164,0.90923523,0.20333976,0.073834146,0.75297814,-6.9188532
-27.017193,1,0.88745175,1,1,0,27.21589,0.84013482,0.10760033,0.15986518,0.89239967,0.15192485,0.091820439,0.083364134,0.082211258,0.795755,0.22491748,0.10275013,0.80166652,0.92740655,0.2675593,0.84807515,0.90817956,0.91663587,0.91778874,0.204245,0.77508252,0.89724987,0.19833348,0.072593453,0.7324407,-6.8642095
