# ActiveInference.jl Simulation Results
# Generated: 2026-03-03T08:25:25.212
# Model: Multi Armed Bandit Agent
# Steps: 15
# Columns: step, observation, action, belief_state_1
1,1,3,0.22624680632922126
2,1,3,0.15755458435478786
3,1,3,0.11645045059250243
4,1,2,0.09287041932236194
5,1,1,0.07966962858965605
6,1,2,0.07238029861781192
7,2,2,0.10675052094879443
8,2,1,0.13466848624211056
9,2,3,0.1573288763683748
10,2,2,0.1757096509401775
11,3,1,0.28921186762666823
12,2,2,0.2855061875636865
13,1,1,0.19483700951857863
14,3,1,0.3077940426122243
15,1,3,0.20932270536080047
