# stan_version_major = 2
# stan_version_minor = 39
# stan_version_patch = 0
# model = Continuous_State_Navigation_Agent_stan_model
# start_datetime = 2026-09-06 18:12:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 300
#     num_warmup = 300
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = output/model_family_acceptance/continuous/pipeline_output/12_execute_output/continuous_navigation/stan/simulation_data/Continuous_State_Navigation_Agent_stan_data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /private/tmp/claude-501/-Users-hum-Documents-GitHub-HumOS/61e99712-2be6-42f2-9983-d73d6ffca46e/scratchpad/wt/GeneralizedNotationNotation/output/model_family_acceptance/continuous/pipeline_output/11_render_output/continuous_navigation/stan/output/model_family_acceptance/continuous/pipeline_output/12_execute_output/continuous_navigation/stan/simulation_data/cmdstan/Continuous_State_Navigation_Agent_stan-20260906111255.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.39.0
# stancflags = --filename-in-msg=Continuous_State_Navigation_Agent_stan.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,obs_noise_scale,mu.1.1,mu.2.1,mu.3.1,mu.4.1,mu.5.1,mu.6.1,mu.7.1,mu.8.1,mu.9.1,mu.10.1,mu.11.1,mu.12.1,mu.13.1,mu.14.1,mu.15.1,mu.1.2,mu.2.2,mu.3.2,mu.4.2,mu.5.2,mu.6.2,mu.7.2,mu.8.2,mu.9.2,mu.10.2,mu.11.2,mu.12.2,mu.13.2,mu.14.2,mu.15.2,P.1.1.1,P.2.1.1,P.3.1.1,P.4.1.1,P.5.1.1,P.6.1.1,P.7.1.1,P.8.1.1,P.9.1.1,P.10.1.1,P.11.1.1,P.12.1.1,P.13.1.1,P.14.1.1,P.15.1.1,P.1.2.1,P.2.2.1,P.3.2.1,P.4.2.1,P.5.2.1,P.6.2.1,P.7.2.1,P.8.2.1,P.9.2.1,P.10.2.1,P.11.2.1,P.12.2.1,P.13.2.1,P.14.2.1,P.15.2.1,P.1.1.2,P.2.1.2,P.3.1.2,P.4.1.2,P.5.1.2,P.6.1.2,P.7.1.2,P.8.1.2,P.9.1.2,P.10.1.2,P.11.1.2,P.12.1.2,P.13.1.2,P.14.1.2,P.15.1.2,P.1.2.2,P.2.2.2,P.3.2.2,P.4.2.2,P.5.2.2,P.6.2.2,P.7.2.2,P.8.2.2,P.9.2.2,P.10.2.2,P.11.2.2,P.12.2.2,P.13.2.2,P.14.2.2,P.15.2.2,log_lik
# Adaptation terminated
# Step size = 0.988283
# Diagonal elements of inverse mass matrix:
# 0.102372
-13.407245,1,0.9882832,2,3,0,13.51933,0.66695068,0.39949264,0.52674786,0.9709717,1.2146202,1.5408654,1.7591612,1.6905263,2.0595027,1.8311615,1.5101494,1.6063036,1.9913844,2.1001212,1.7980369,1.6255351,-0.38640458,-0.13585844,0.41851479,0.70227734,1.0265907,1.1825297,1.412665,1.497516,1.7780334,1.7122715,1.7305998,1.8057751,1.9431731,1.7280944,2.1802891,0.05884564,0.041354894,0.0385506,0.03804221,0.037948071,0.037930571,0.037927316,0.03792671,0.037926597,0.037926576,0.037926573,0.037926572,0.037926572,0.037926572,0.037926572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05884564,0.041354894,0.0385506,0.03804221,0.037948071,0.037930571,0.037927316,0.03792671,0.037926597,0.037926576,0.037926573,0.037926572,0.037926572,0.037926572,0.037926572,-12.160193
-13.521678,0.97153142,0.9882832,1,3,0,13.556835,0.56943353,0.4064875,0.51785188,0.96777582,1.2104204,1.5436268,1.764034,1.6856047,2.0708401,1.8253067,1.4902393,1.5965572,2.0005971,2.1086418,1.7882042,1.6107748,-0.39317027,-0.15286743,0.40863244,0.68983627,1.0189894,1.1733236,1.4086189,1.4917345,1.7821386,1.7075146,1.7256146,1.8036915,1.9462065,1.7181641,2.1943055,0.051121315,0.036429309,0.034327148,0.03399061,0.033935801,0.03392685,0.033925388,0.033925149,0.03392511,0.033925103,0.033925102,0.033925102,0.033925102,0.033925102,0.033925102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051121315,0.036429309,0.034327148,0.03399061,0.033935801,0.03392685,0.033925388,0.033925149,0.03392511,0.033925103,0.033925102,0.033925102,0.033925102,0.033925102,0.033925102,-11.968546
-13.408882,0.99951064,0.9882832,1,3,0,13.513037,0.6518791,0.40055795,0.52551404,0.9705038,1.2140016,1.5412447,1.759866,1.6898318,2.0611316,1.8303494,1.5072672,1.6048263,1.9926535,2.1013568,1.7966464,1.6233822,-0.38743498,-0.13833472,0.41703028,0.70042695,1.0254287,1.181147,1.4120271,1.4966442,1.7785917,1.7115829,1.729863,1.8054503,1.9435943,1.7266623,2.1822825,0.057669236,0.040604237,0.037911415,0.037431657,0.037344405,0.037328478,0.037325569,0.037325037,0.03732494,0.037324923,0.037324919,0.037324919,0.037324919,0.037324919,0.037324919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057669236,0.040604237,0.037911415,0.037431657,0.037344405,0.037328478,0.037325569,0.037325037,0.03732494,0.037324923,0.037324919,0.037324919,0.037324919,0.037324919,0.037324919,-12.123753
-13.420673,0.87128657,0.9882832,2,3,0,14.290105,0.70033276,0.39715315,0.52932269,0.9719749,1.2159531,1.5400779,1.7576567,1.6919904,2.0560355,1.8328568,1.5163067,1.6095349,1.9887479,2.0974822,1.8009723,1.630153,-0.38414173,-0.13054603,0.42174986,0.70628947,1.0291462,1.1855445,1.4140908,1.4994218,1.7768841,1.7137454,1.7321926,1.8064966,1.9422948,1.7311498,2.1760705,0.061429112,0.043004756,0.039950358,0.039376017,0.039265561,0.039244227,0.039240103,0.039239305,0.039239151,0.039239121,0.039239116,0.039239115,0.039239114,0.039239114,0.039239114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061429112,0.043004756,0.039950358,0.039376017,0.039265561,0.039244227,0.039240103,0.039239305,0.039239151,0.039239121,0.039239116,0.039239115,0.039239114,0.039239114,0.039239114,-12.247978
-13.420673,0.92087454,0.9882832,1,3,0,13.797813,0.70033276,0.39715315,0.52932269,0.9719749,1.2159531,1.5400779,1.7576567,1.6919904,2.0560355,1.8328568,1.5163067,1.6095349,1.9887479,2.0974822,1.8009723,1.630153,-0.38414173,-0.13054603,0.42174986,0.70628947,1.0291462,1.1855445,1.4140908,1.4994218,1.7768841,1.7137454,1.7321926,1.8064966,1.9422948,1.7311498,2.1760705,0.061429112,0.043004756,0.039950358,0.039376017,0.039265561,0.039244227,0.039240103,0.039239305,0.039239151,0.039239121,0.039239116,0.039239115,0.039239114,0.039239114,0.039239114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061429112,0.043004756,0.039950358,0.039376017,0.039265561,0.039244227,0.039240103,0.039239305,0.039239151,0.039239121,0.039239116,0.039239115,0.039239114,0.039239114,0.039239114,-12.247978
-13.484864,0.97736213,0.9882832,1,3,0,13.555149,0.58512538,0.40534544,0.51944099,0.96831711,1.2111287,1.5431293,1.7631973,1.6864705,2.0688792,1.8263529,1.4936569,1.5981538,1.9989425,2.1071833,1.7899309,1.6132899,-0.39206563,-0.14996078,0.41026795,0.69191655,1.020225,1.1748485,1.4092553,1.4926889,1.7813939,1.7083327,1.7264536,1.804023,1.9456659,1.7198758,2.1918583,0.052382475,0.037233338,0.035021533,0.034659545,0.034599237,0.03458916,0.034587475,0.034587193,0.034587146,0.034587138,0.034587137,0.034587137,0.034587137,0.034587137,0.034587137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052382475,0.037233338,0.035021533,0.034659545,0.034599237,0.03458916,0.034587475,0.034587193,0.034587146,0.034587138,0.034587137,0.034587137,0.034587137,0.034587137,0.034587137,-11.991485
