Model,pymdp
pymdp_scaling_N128_T10,16.1342
pymdp_scaling_N128_T100,17.8692
pymdp_scaling_N128_T50,19.3059
pymdp_scaling_N16_T10,6.4188
pymdp_scaling_N16_T100,19.9001
pymdp_scaling_N16_T50,12.4603
pymdp_scaling_N2_T10,4.4357
pymdp_scaling_N2_T100,12.1566
pymdp_scaling_N2_T50,7.7896
pymdp_scaling_N32_T10,6.9976
pymdp_scaling_N32_T100,24.4933
pymdp_scaling_N32_T50,15.3371
pymdp_scaling_N4_T10,3.9422
pymdp_scaling_N4_T100,9.6740
pymdp_scaling_N4_T50,7.6507
pymdp_scaling_N64_T10,7.5452
pymdp_scaling_N64_T100,17.7753
pymdp_scaling_N64_T50,13.1371
pymdp_scaling_N8_T10,5.2445
pymdp_scaling_N8_T100,10.0066
pymdp_scaling_N8_T50,8.3894
